Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,
US-T GOVT Note 91282CGB1,3.875,Dec31'29,AAA (MOODY),,Jan 03 '23,5.44,Semi-Annual,98.60157,4.165,4.945319652557373,0.2597395181655884,98.60100,
US-T GOVT Note 91282CFY2,3.875,Nov30'29,AAA (MOODY),,Nov 30 '22,5.36,Semi-Annual,98.64532,4.16,4.860454559326172,0.2514190077781677,98.64531,
US-T GOVT Note 912828YS3,1.75,Nov15'29,AAA (MOODY),,Nov 15 '19,5.31,Semi-Annual,88.78907,4.122,5.0651702880859375,0.2648217976093292,88.76700,
US-T GOVT Note 91282CFT3,4.0,Oct31'29,AAA (MOODY),,Oct 31 '22,5.27,Semi-Annual,99.23325,4.163,4.765381813049316,0.2425999641418457,99.23322,
US-T GOVT Note 91282CFL0,3.875,Sep30'29,AAA (MOODY),,Sep 30 '22,5.19,Semi-Annual,98.66994,4.163,4.69321870803833,0.2354518622159958,98.66991,
US-T GOVT Note 91282CFJ5,3.125,Aug31'29,AAA (MOODY),,Aug 31 '22,5.11,Semi-Annual,95.27473,4.162,4.691603660583496,0.23316915333271027,95.27471,
US-T GOVT Note 912828YB0,1.625,Aug15'29,AAA (MOODY),,Aug 15 '19,5.06,Semi-Annual,88.64649,4.134,4.829269886016846,0.2409927099943161,88.63700,
US-T GOVT Note STRIPS Principal 912821CR4,,Aug15'29,,,Aug 15 '19,5.06,,81.52100,4.0785,,,81.11300,
US-T GOVT  STRIPS Principal 912803CG6,,Aug15'29,,,Aug 16 '99,5.06,,81.51600,4.08,,,81.20800,
US-T GOVT 912810FJ2,6.125,Aug15'29,AAA (MOODY),,Aug 16 '99,5.06,Semi-Annual,109.09961,4.114,4.357978343963623,0.21004781126976013,108.89453,
US-T GOVT Note 91282CFC0,2.625,Jul31'29,AAA (MOODY),,Aug 01 '22,5.02,Semi-Annual,93.09644,4.165,4.6638946533203125,0.22898542881011963,93.09641,
US-T GOVT Note TIPS 9128287D6,0.25,Jul15'29,AAA (MOODY),,Jul 31 '19,4.98,Semi-Annual,92.49610,1.8350000000000002,4.948334693908691,0.24577771127223969,92.48000,
US-T GOVT Note 91282CKX8,4.25,Jun30'29,AAA (MOODY),,Jul 01 '24,4.94,Semi-Annual,100.46876,4.143400000000001,4.501399517059326,0.21481935679912567,100.46874,
US-T GOVT Note 91282CEV9,3.25,Jun30'29,AAA (MOODY),,Jun 30 '22,4.94,Semi-Annual,95.95212,4.166,4.5890116691589355,0.22066134214401245,95.95210,
US-T GOVT Note 91282CKT7,4.5,May31'29,AAA (MOODY),,May 31 '24,4.85,Semi-Annual,101.56251,4.142,4.395820617675781,0.20590612292289734,101.56249,
US-T GOVT Note 91282CES6,2.75,May31'29,AAA (MOODY),,May 31 '22,4.85,Semi-Annual,93.83157,4.167,4.55109167098999,0.21599550545215607,93.83156,
US-T GOVT Note 9128286T2,2.375,May15'29,AAA (MOODY),,May 15 '19,4.81,Semi-Annual,92.29688,4.158,4.546822547912598,0.21463513374328613,92.26900,
US-T GOVT Note STRIPS Principal 912821CA1,,May15'29,,,May 15 '19,4.81,,82.14200,4.132000000000001,,,81.98400,
US-T GOVT Note 91282CKP5,4.625,Apr30'29,AAA (MOODY),,Apr 30 '24,4.77,Semi-Annual,102.02541,4.152,4.303252220153809,0.19809408485889435,102.02538,
US-T GOVT Note 91282CEM9,2.875,Apr30'29,AAA (MOODY),,May 02 '22,4.77,Semi-Annual,94.48438,4.1612,4.456953048706055,0.20782773196697235,94.46600,
US-T GOVT Note TIPS 91282CKL4,2.125,Apr15'29,AAA (MOODY),,Apr 30 '24,4.73,Semi-Annual,100.69532,1.9700000000000002,4.504678726196289,0.2095038741827011,100.69500,
US-T GOVT  TIPS 912810FH6,3.875,Apr15'29,AAA (MOODY),,Apr 15 '99,4.73,Semi-Annual,108.53907,1.973,4.345643997192383,0.19958196580410004,108.47600,
US-T GOVT Note 91282CKG5,4.125,Mar31'29,AAA (MOODY),,Apr 01 '24,4.69,Semi-Annual,99.86330,4.159,4.259729862213135,0.193411722779274,99.86327,
US-T GOVT Note 91282CEE7,2.375,Mar31'29,AAA (MOODY),,Mar 31 '22,4.69,Semi-Annual,92.46484,4.1609,4.420772075653076,0.2033359557390213,92.45100,
US-T GOVT Note 91282CKD2,4.25,Feb28'29,AAA (MOODY),,Feb 29 '24,4.60,Semi-Annual,100.44141,4.1428,4.167053699493408,0.18585072457790375,100.43100,
US-T GOVT Note 91282CEB3,1.875,Feb28'29,AAA (MOODY),,Feb 28 '22,4.60,Semi-Annual,90.50000,4.164000000000001,4.389768123626709,0.199209064245224,90.49800,
US-T GOVT Note 9128286B1,2.625,Feb15'29,AAA (MOODY),,Feb 15 '19,4.57,Semi-Annual,93.62110,4.175,4.269932270050049,0.1908901184797287,93.61700,
US-T GOVT Note STRIPS Principal 912821BL8,,Feb15'29,,,Feb 15 '19,4.57,,83.05300,4.1135,,,82.67700,
US-T GOVT  STRIPS Principal 912803BW2,,Feb15'29,,,Feb 16 '99,4.57,,83.43100,4.0120000000000005,,,83.12600,
US-T GOVT 912810FG8,5.25,Feb15'29,AAA (MOODY),,Feb 16 '99,4.57,Semi-Annual,105.02930,4.031000000000001,4.043810844421387,0.1775209605693817,104.75000,
US-T GOVT Note 91282CJW2,4.0,Jan31'29,AAA (MOODY),,Jan 31 '24,4.53,Semi-Annual,99.33985,4.163,4.103102207183838,0.18007123470306396,99.33984,
US-T GOVT Note 91282CDW8,1.75,Jan31'29,AAA (MOODY),,Jan 31 '22,4.53,Semi-Annual,90.13282,4.168,4.317992687225342,0.19259397685527802,90.12500,
US-T GOVT Note TIPS 9128285W6,0.875,Jan15'29,AAA (MOODY),,Jan 31 '19,4.48,Semi-Annual,95.42579,1.947,4.402593612670898,0.19602517783641815,95.39400,
US-T GOVT  TIPS 912810PZ5,2.5,Jan15'29,AAA (MOODY),,Jan 30 '09,4.48,Semi-Annual,102.30860,1.959,4.270694255828857,0.18796226382255554,102.26100,
US-T GOVT Note 91282CJR3,3.75,Dec31'28,AAA (MOODY),,Jan 02 '24,4.44,Semi-Annual,98.32423,4.17,4.121854782104492,0.17803823947906494,98.32421,
US-T GOVT Note 91282CDP3,1.375,Dec31'28,AAA (MOODY),,Dec 31 '21,4.44,Semi-Annual,88.78125,4.172000000000001,4.311114311218262,0.1894129365682602,88.76700,
US-T GOVT Note 91282CJN2,4.375,Nov30'28,AAA (MOODY),,Nov 30 '23,4.36,Semi-Annual,100.83205,4.164000000000001,3.9931254386901855,0.16855333745479584,100.83202,
US-T GOVT Note 91282CDL2,1.5,Nov30'28,AAA (MOODY),,Nov 30 '21,4.36,Semi-Annual,89.44532,4.1770000000000005,4.215219020843506,0.18152382969856262,89.44100,
US-T GOVT Note 9128285M8,3.125,Nov15'28,AAA (MOODY),,Nov 15 '18,4.31,Semi-Annual,95.84375,4.188000000000001,4.041784763336182,0.17045800387859344,95.82400,
US-T GOVT Note STRIPS Principal 912821AW5,,Nov15'28,,,Nov 15 '18,4.31,,83.76200,4.154,,,83.58300,
US-T GOVT  STRIPS Principal 912803BV4,,Nov15'28,,,Nov 16 '98,4.31,,84.07000,4.067,,,83.77600,
US-T GOVT 912810FF0,5.25,Nov15'28,AAA (MOODY),,Nov 16 '98,4.31,Semi-Annual,104.55079,4.086,3.894711971282959,0.16198742389678955,104.30100,
US-T GOVT Note 91282CJF9,4.875,Oct31'28,AAA (MOODY),,Oct 31 '23,4.27,Semi-Annual,102.71095,4.174,3.8773412704467773,0.16015306115150452,102.71093,
US-T GOVT Note 91282CDF5,1.375,Oct31'28,AAA (MOODY),,Nov 01 '21,4.27,Semi-Annual,89.12501,4.183,4.144036293029785,0.17528899013996124,89.12499,
US-T GOVT Note TIPS 91282CJH5,2.375,Oct15'28,AAA (MOODY),,Oct 31 '23,4.23,Semi-Annual,101.83985,1.919,4.0286946296691895,0.1676405966281891,101.82400,
US-T GOVT Note 91282CJA0,4.625,Sep30'28,AAA (MOODY),,Oct 02 '23,4.19,Semi-Annual,101.68165,4.182,3.8088760375976562,0.1545485407114029,101.68163,
US-T GOVT Note 91282CCY5,1.25,Sep30'28,AAA (MOODY),,Sep 30 '21,4.19,Semi-Annual,88.82032,4.189,4.070224285125732,0.16893614828586578,88.82000,
US-T GOVT Note 91282CHX2,4.375,Aug31'28,AAA (MOODY),,Aug 31 '23,4.11,Semi-Annual,100.72266,4.181,3.743582010269165,0.14925998449325562,100.71875,
US-T GOVT Note 91282CCV1,1.125,Aug31'28,AAA (MOODY),,Aug 31 '21,4.11,Semi-Annual,88.53516,4.195,3.9992661476135254,0.1629149466753006,88.53500,
US-T GOVT Note STRIPS Principal 912821AH8,,Aug15'28,,,Aug 15 '18,4.06,,84.67200,4.140000000000001,,,84.26700,
US-T GOVT Note 9128284V9,2.875,Aug15'28,AAA (MOODY),,Aug 15 '18,4.06,Semi-Annual,95.07032,4.208,3.8087265491485596,0.151723712682724,95.05469,
US-T GOVT  STRIPS Principal 912803BP7,,Aug15'28,,,Aug 17 '98,4.06,,85.11400,4.009,,,84.86400,
US-T GOVT 912810FE3,5.5,Aug15'28,AAA (MOODY),,Aug 17 '98,4.06,Semi-Annual,105.38282,4.048,3.627229928970337,0.1421850174665451,105.17800,
US-T GOVT Note 91282CHQ7,4.125,Jul31'28,AAA (MOODY),,Jul 31 '23,4.02,Semi-Annual,99.78321,4.184,3.675828456878662,0.14386427402496338,99.78320,
US-T GOVT Note 91282CCR0,1.0,Jul31'28,AAA (MOODY),,Aug 02 '21,4.02,Semi-Annual,88.30469,4.192,3.925766944885254,0.15678678452968597,88.28700,
US-T GOVT Note TIPS 912828Y38,0.75,Jul15'28,AAA (MOODY),,Jul 31 '18,3.98,Semi-Annual,95.60938,1.9020000000000001,3.925325870513916,0.1553792506456375,95.60900,
US-T GOVT Note 91282CHK0,4.0,Jun30'28,AAA (MOODY),,Jun 30 '23,3.94,Semi-Annual,99.31837,4.19,3.6771724224090576,0.1411900520324707,99.31835,
US-T GOVT Note 91282CCH2,1.25,Jun30'28,AAA (MOODY),,Jun 30 '21,3.94,Semi-Annual,89.39454,4.202,3.8491506576538086,0.15039414167404175,89.39000,
US-T GOVT Note 91282CHE4,3.625,May31'28,AAA (MOODY),,May 31 '23,3.85,Semi-Annual,97.98439,4.196000000000001,3.6135802268981934,0.1361238658428192,97.98437,
US-T GOVT Note 91282CCE9,1.25,May31'28,AAA (MOODY),,Jun 01 '21,3.85,Semi-Annual,89.58985,4.205,3.7642364501953125,0.1439305543899536,89.56800,
US-T GOVT Note 9128284N7,2.875,May15'28,AAA (MOODY),,May 15 '18,3.81,Semi-Annual,95.30469,4.2211,3.617007255554199,0.13544240593910217,95.29297,
US-T GOVT Note STRIPS Principal 9128205B9,,May15'28,,,May 15 '18,3.81,,85.40500,4.184,,,85.18900,
US-T GOVT Note 91282CHA2,3.5,Apr30'28,AAA (MOODY),,May 01 '23,3.77,Semi-Annual,97.57032,4.202,3.538626194000244,0.13061635196208954,97.56641,
US-T GOVT Note 91282CBZ3,1.25,Apr30'28,AAA (MOODY),,Apr 30 '21,3.77,Semi-Annual,89.75782,4.2170000000000005,3.682063579559326,0.13781291246414185,89.75100,
US-T GOVT Note TIPS 91282CGW5,1.25,Apr15'28,AAA (MOODY),,Apr 28 '23,3.73,Semi-Annual,97.09766,2.063,3.642052173614502,0.13475556671619415,97.07400,
US-T GOVT  TIPS 912810FD5,3.625,Apr15'28,AAA (MOODY),,Apr 15 '98,3.73,Semi-Annual,105.48829,2.0860000000000003,,,105.41700,
US-T GOVT Note 91282CGT2,3.625,Mar31'28,AAA (MOODY),,Mar 31 '23,3.69,Semi-Annual,98.03321,4.206,3.44638991355896,0.12432561069726944,98.03320,
US-T GOVT Note 91282CBS9,1.25,Mar31'28,AAA (MOODY),,Mar 31 '21,3.69,Semi-Annual,89.96875,4.2170000000000005,3.597151279449463,0.1316331923007965,89.94900,
US-T GOVT Note 91282CGP0,4.0,Feb29'28,AAA (MOODY),,Feb 28 '23,3.60,Semi-Annual,99.28516,4.216,3.3427085876464844,0.11772375553846359,99.28515,
US-T GOVT Note 91282CBP5,1.125,Feb29'28,AAA (MOODY),,Mar 01 '21,3.60,Semi-Annual,89.75151,4.221,3.523729085922241,0.1261999011039734,89.75149,
US-T GOVT Note 9128283W8,2.75,Feb15'28,AAA (MOODY),,Feb 15 '18,3.56,Semi-Annual,95.15040,4.231,3.3725719451904297,0.11819995939731598,95.14062,
US-T GOVT Note STRIPS Principal 9128204M6,,Feb15'28,,,Feb 15 '18,3.56,,86.24700,4.199,,,86.08500,
US-T GOVT Note 91282CGH8,3.5,Jan31'28,AAA (MOODY),,Jan 31 '23,3.52,Semi-Annual,97.65626,4.226,3.2863965034484863,0.11341152340173721,97.65624,
US-T GOVT Note 91282CBJ9,0.75,Jan31'28,AAA (MOODY),,Feb 01 '21,3.52,Semi-Annual,88.74219,4.226,3.465646505355835,0.1214996725320816,88.72600,
US-T GOVT Note TIPS 9128283R9,0.5,Jan15'28,AAA (MOODY),,Jan 31 '18,3.48,Semi-Annual,94.76954,2.067,3.4530863761901855,0.11981247365474701,94.74600,
US-T GOVT  TIPS 912810PV4,1.75,Jan15'28,AAA (MOODY),,Jan 31 '08,3.48,Semi-Annual,98.90625,2.0780000000000003,3.390212297439575,0.1168050765991211,98.87800,
US-T GOVT Note 91282CGC9,3.875,Dec31'27,AAA (MOODY),,Jan 03 '23,3.44,Semi-Annual,98.87891,4.23,3.2471401691436768,0.10930319130420685,98.87890,
US-T GOVT Note 91282CBB6,0.625,Dec31'27,AAA (MOODY),,Dec 31 '20,3.44,Semi-Annual,88.58985,4.229,3.405867576599121,0.11675169318914413,88.58900,
US-T GOVT Note 91282CFZ9,3.875,Nov30'27,AAA (MOODY),,Nov 30 '22,3.35,Semi-Annual,98.87891,4.236,3.1621837615966797,0.10386018455028534,98.87500,
US-T GOVT Note 91282CAY7,0.625,Nov30'27,AAA (MOODY),,Nov 30 '20,3.35,Semi-Annual,88.82422,4.236,3.320979118347168,0.11104179918766022,88.82000,
US-T GOVT Note STRIPS Principal 9128203W5,,Nov15'27,,,Nov 15 '17,3.31,,87.24900,4.164000000000001,,,86.83100,
US-T GOVT Note 9128283F5,2.25,Nov15'27,AAA (MOODY),,Nov 15 '17,3.31,Semi-Annual,93.89063,4.247,3.1960484981536865,0.10460733622312546,93.88672,
US-T GOVT  STRIPS Principal 912803BM4,,Nov15'27,,,Nov 15 '97,3.31,,87.39300,4.113,,,87.15600,
US-T GOVT 912810FB9,6.125,Nov15'27,AAA (MOODY),,Nov 17 '97,3.31,Semi-Annual,106.04297,4.15,3.0297794342041016,0.09722346812486649,105.82100,
US-T GOVT Note 91282CFU0,4.125,Oct31'27,AAA (MOODY),,Oct 31 '22,3.27,Semi-Annual,99.65235,4.238,3.0691566467285156,0.09825897961854935,99.64844,
US-T GOVT Note 91282CAU5,0.5,Oct31'27,AAA (MOODY),,Nov 02 '20,3.27,Semi-Annual,88.68750,4.242,3.245694875717163,0.10595253109931946,88.68700,
US-T GOVT Note TIPS 91282CFR7,1.625,Oct15'27,AAA (MOODY),,Oct 31 '22,3.23,Semi-Annual,98.81641,2.005,3.144554853439331,0.10062862932682037,98.79200,
US-T GOVT Note 91282CFM8,4.125,Sep30'27,AAA (MOODY),,Sep 30 '22,3.19,Semi-Annual,99.67579,4.2330000000000005,2.984232187271118,0.09311964362859726,99.67188,
US-T GOVT Note 91282CAL5,0.375,Sep30'27,AAA (MOODY),,Sep 30 '20,3.19,Semi-Annual,88.59375,4.24,3.167739152908325,0.100804902613163,88.58900,
US-T GOVT Note 91282CFH9,3.125,Aug31'27,AAA (MOODY),,Aug 31 '22,3.10,Semi-Annual,96.73829,4.257000000000001,2.946418046951294,0.09006895869970322,96.73828,
US-T GOVT Note 91282CAH4,0.5,Aug31'27,AAA (MOODY),,Aug 31 '20,3.10,Semi-Annual,89.20704,4.2490000000000006,3.078659772872925,0.09538939595222473,89.19500,
US-T GOVT Note STRIPS Principal 9128203H8,,Aug15'27,,,Aug 15 '17,3.06,,88.08900,4.187,,,87.69400,
US-T GOVT Note 9128282R0,2.25,Aug15'27,AAA (MOODY),,Aug 15 '17,3.06,Semi-Annual,94.26759,4.268,2.9439873695373535,0.08913543820381165,94.26757,
US-T GOVT  STRIPS Principal 912803BL6,,Aug15'27,,,Aug 15 '97,3.06,,88.22700,4.135,,,88.04700,
US-T GOVT 912810FA1,6.375,Aug15'27,AAA (MOODY),,Aug 15 '97,3.06,Semi-Annual,106.37500,4.135,2.768125057220459,0.08221319317817688,106.04687,
US-T GOVT Note 91282CFB2,2.75,Jul31'27,AAA (MOODY),,Aug 01 '22,3.02,Semi-Annual,95.73634,4.271,2.8789052963256836,0.0858091339468956,95.73632,
US-T GOVT Note 91282CAD3,0.375,Jul31'27,AAA (MOODY),,Jul 31 '20,3.02,Semi-Annual,89.09375,4.263,3.0007030963897705,0.09050212055444717,89.07812,
US-T GOVT Note 91282CKZ3,4.375,Jul15'27,,,Jul 15 '24,2.98,Semi-Annual,100.30079,4.269,2.8269145488739014,0.08253949135541916,100.30077,
US-T GOVT Note TIPS 9128282L3,0.375,Jul15'27,AAA (MOODY),,Jul 31 '17,2.98,Semi-Annual,95.31641,2.004,2.961810350418091,0.08798272907733917,95.29200,
US-T GOVT Note 91282CEW7,3.25,Jun30'27,AAA (MOODY),,Jun 30 '22,2.94,Semi-Annual,97.24610,4.257000000000001,2.8219878673553467,0.0816919133067131,97.24609,
US-T GOVT Note 912828ZV5,0.5,Jun30'27,AAA (MOODY),,Jun 30 '20,2.94,Semi-Annual,89.71094,4.267,2.9209492206573486,0.08568248152732849,89.68800,
US-T GOVT Note 91282CKV2,4.625,Jun15'27,AAA (MOODY),,Jun 17 '24,2.89,Semi-Annual,100.96681,4.265000000000001,2.734267234802246,0.07750656455755234,100.96679,
US-T GOVT Note 91282CET4,2.625,May31'27,AAA (MOODY),,May 31 '22,2.85,Semi-Annual,95.58594,4.284,2.758131265640259,0.07778584957122803,95.58203,
US-T GOVT Note 912828ZS2,0.5,May31'27,AAA (MOODY),,Jun 01 '20,2.85,Semi-Annual,89.96094,4.276,2.8360652923583984,0.08079593628644943,89.93700,
US-T GOVT Note 91282CKR1,4.5,May15'27,AAA (MOODY),,May 15 '24,2.81,Semi-Annual,100.52735,4.297000000000001,2.655853271484375,0.07322363555431366,100.52734,
US-T GOVT Note 912828X88,2.375,May15'27,AAA (MOODY),,May 15 '17,2.81,Semi-Annual,94.96485,4.297000000000001,2.7256970405578613,0.0758638083934784,94.96484,
US-T GOVT Note STRIPS Principal 9128207D3,,May15'27,,,May 15 '17,2.81,,88.88200,4.239,,,88.67400,
US-T GOVT Note 91282CEN7,2.75,Apr30'27,AAA (MOODY),,May 02 '22,2.77,Semi-Annual,96.00000,4.296,,,95.99609,
US-T GOVT Note 912828ZN3,0.5,Apr30'27,AAA (MOODY),,Apr 30 '20,2.77,Semi-Annual,90.20704,4.288,,,90.19100,
US-T GOVT Note 91282CKJ9,4.5,Apr15'27,AAA (MOODY),,Apr 15 '24,2.73,Semi-Annual,100.48244,4.309,,,100.48241,
